contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241216C00500000,2024-12-13 19:07:27+00:00,500.0,104.33,103.19,104.42,-2.9700012,-2.7679415,25.0,40,0.936524072265625,True,REGULAR,USD,2024-12-16
SPY241216C00545000,2024-12-13 18:08:14+00:00,545.0,58.27,58.22,59.43,-5.9299965,-9.236755,626.0,0,0.5571333349609376,True,REGULAR,USD,2024-12-16
SPY241216C00550000,2024-12-13 17:11:46+00:00,550.0,53.82,53.23,54.43,-1.4599991,-2.6410983,642.0,2,0.514653291015625,True,REGULAR,USD,2024-12-16
SPY241216C00565000,2024-12-10 17:51:05+00:00,565.0,40.36,38.21,39.44,0.0,0.0,5.0,6,0.389654541015625,True,REGULAR,USD,2024-12-16
SPY241216C00570000,2024-12-13 20:46:15+00:00,570.0,34.79,33.21,34.44,-3.2599983,-8.56767,14.0,9,0.34668622070312494,True,REGULAR,USD,2024-12-16
SPY241216C00575000,2024-12-13 19:14:59+00:00,575.0,29.28,28.24,29.44,-1.5900002,-5.1506324,1.0,9,0.30322962402343745,True,REGULAR,USD,2024-12-16
SPY241216C00580000,2024-12-13 18:02:19+00:00,580.0,22.96,23.22,24.44,-1.2700005,-5.2414384,47.0,62,0.25879647460937505,True,REGULAR,USD,2024-12-16
SPY241216C00585000,2024-12-13 18:16:52+00:00,585.0,18.4,18.22,19.45,-2.1400013,-10.418701,1209.0,215,0.215828154296875,True,REGULAR,USD,2024-12-16
SPY241216C00586000,2024-12-13 15:46:04+00:00,586.0,17.51,17.32,18.45,-2.1000004,-10.708824,4.0,16,0.20655090332031245,True,REGULAR,USD,2024-12-16
SPY241216C00587000,2024-12-06 21:00:00+00:00,587.0,16.92,16.27,17.45,-4.74,-21.883656,1.0,20,0.19751779052734375,True,REGULAR,USD,2024-12-16
SPY241216C00588000,2024-12-13 20:12:22+00:00,588.0,16.56,15.32,16.45,-2.630001,-13.70506,405.0,13,0.18799640136718748,True,REGULAR,USD,2024-12-16
SPY241216C00589000,2024-12-13 18:05:26+00:00,589.0,14.3,14.32,15.45,-6.2799997,-30.515062,323.0,1,0.178719150390625,True,REGULAR,USD,2024-12-16
